1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medium_ID,Medium_nev,Partner_ID,Név,Vegtulaj_1_ID,Vegtulaj_1,Vegtulaj_2_ID,Vegtulaj_2,Vegtulaj_3_ID,Vegtulaj_3,Vegtulaj_4_ID,Vegtulaj_4,Vegtulaj_5_ID,Vegtulaj_5,Vegtulaj_6_ID,Vegtulaj_6,Vegtulaj_7_ID,Vegtulaj_7,Vegtulaj_8_ID,Vegtulaj_8,Vegtulaj_9_ID,Vegtulaj_9,Vegtulaj_1_ID,Vegtulaj_1,Vegtulaj_11_ID,Vegtulaj_11,Vegtulaj_12_ID,Vegtulaj_12,Vegtulaj_13_ID,Vegtulaj_13,Vegtulaj_14_ID,Vegtulaj_14,Vegtulaj_15_ID,Vegtulaj_15,Vegtulaj_16_ID,Vegtulaj_16,Vegtulaj_17_ID,Vegtulaj_17,Vegtulaj_18_ID,Vegtulaj_18,Vegtulaj_19_ID,Vegtulaj_19,Vegtulaj_2_ID,Vegtulaj_20,Vegtulaj_21_ID,Vegtulaj_21,Vegtulaj_22_ID,Vegtulaj_22,Vegtulaj_23_ID,Vegtulaj_23,Vegtulaj_24_ID,Vegtulaj_24,Vegtulaj_25_ID,Vegtulaj_25,Vegtulaj_26_ID,Vegtulaj_26,Vegtulaj_27_ID,Vegtulaj_27,Vegtulaj_28_ID,Vegtulaj_28,Vegtulaj_29_ID,Vegtulaj_29,Vegtulaj_3_ID,Vegtulaj_3,Vegtulaj_31_ID,Vegtulaj_31
30594,Családi lap,199017,EKH Egyesült Kiadói Holding Korlátolt Felelősségű Társaság,2105,Szilvássy Mihályné,2054,dr. Óvári Győző,1471,Piros Ferenc,2044,Békési Lajos,2031,SETARA Stiftung Alapítvány,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30617,Csók és könny,90180,AXEL SPRINGER-BUDAPEST KIADÓI Kft,1352,Bérczi Zsuzsanna,1347,dr. Bayer József,1427,Axel Springer Verlag AG,2058,Ferenczy Beteiligungs GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30647,Tiszaújváros szuperinfó,199059,PORTA Ingatlanközvetítő és Reklámszervező Gazdasági Munkaközösség,2024,Oláh György,2025,Oláh Györgyné,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30650,Déli apró ,199009,CSONGRÁD MEGYEI PIACZ Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,2026,Pálfy Katalin,2008,Balogh Tamás,2011,Chikán Ágnes,2012,Cs. Gát László,2049,Darvasi László,2052,Dlusztus Imre,2017,Gombos Erzsébet,2062,Gyürki Ernő,2019,Kalocsai Katalin,2020,Kovács András,2077,Mag Edit,2079,Márok Tamás,2023,Nyilas Péter,2085,Ódor József,2086,Pacsika Emilia,2090,Pataki Sándor,2094,Podmaniczky Szilárd,2029,Rafai Gábor,2097,Réthi Attila,2100,Sandi István,2030,Schmidt Andrea,2103,Sulyok Erzsébet,2104,Süli József,2035,Szabó Magdolna,2106,Tandi Lajos,2110,Tóth Szeles István,2036,Túri József,2114,Újszászi Ilona,2116,Varga Iván,2083,Nagy László,2032,Sociéte A Responsabilité Limitée Nice Presse Invest
30654,Délmagyarország,199011,"DÉLMAGYARORSZÁG Könyv-, Lapkiadó és Nyomdaipari Korlátolt Felelősségű Társaság",2026,Pálfy Katalin,2008,Balogh Tamás,2011,Chikán Ágnes,2012,Cs. Gát László,2049,Darvasi László,2052,Dlusztus Imre,2017,Gombos Erzsébet,2062,Gyürki Ernő,2019,Kalocsai Katalin,2020,Kovács András,2077,Mag Edit,2079,Márok Tamás,2023,Nyilas Péter,2085,Ódor József,2086,Pacsika Emilia,2090,Pataki Sándor,2094,Podmaniczky Szilárd,2029,Rafai Gábor,2097,Réthi Attila,2100,Sandi István,2030,Schmidt Andrea,2103,Sulyok Erzsébet,2104,Süli József,2035,Szabó Magdolna,2106,Tandi Lajos,2110,Tóth Szeles István,2036,Túri József,2114,Újszászi Ilona,2116,Varga Iván,2083,Nagy László,2032,Sociéte A Responsabilité Limitée Nice Presse Invest
30658,Délvilág,199011,"DÉLMAGYARORSZÁG Könyv-, Lapkiadó és Nyomdaipari Korlátolt Felelősségű Társaság",2026,Pálfy Katalin,2008,Balogh Tamás,2011,Chikán Ágnes,2012,Cs. Gát László,2049,Darvasi László,2052,Dlusztus Imre,2017,Gombos Erzsébet,2062,Gyürki Ernő,2019,Kalocsai Katalin,2020,Kovács András,2077,Mag Edit,2079,Márok Tamás,2023,Nyilas Péter,2085,Ódor József,2086,Pacsika Emilia,2090,Pataki Sándor,2094,Podmaniczky Szilárd,2029,Rafai Gábor,2097,Réthi Attila,2100,Sandi István,2030,Schmidt Andrea,2103,Sulyok Erzsébet,2104,Süli József,2035,Szabó Magdolna,2106,Tandi Lajos,2110,Tóth Szeles István,2036,Túri József,2114,Újszászi Ilona,2116,Varga Iván,2083,Nagy László,2032,Sociéte A Responsabilité Limitée Nice Presse Invest
30680,Diéta & fitnesz,199004,Budapest Piac Rt.,1571,Hegedűsné Bárdos Judit,1605,Szijj György,1611,Vas Zoltán,1570,Hegedüs István,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30739,Dunaújvárosi hírlap,199021,Hírlap Press Kiadói Korlátolt Felelősségű Társaság,1668,Westdeutsche Allgemeine Zeitungsverlag GesmbH und Co Zeitschriften- und Beteiligungs KG.,1637,K & K Medien und Handels GmbH. & Co. KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30806,Élet és irodalom,91208,Irodalom Lap és Könyvkiadó Kulturális Szolgáltató Korlátolt Felelőségű Társaság,1059,Élet és Irodalom Alapítvány,1724,Journal Art Alapítvány,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30863,Érdi újság,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
