2009,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Medium_ID,Medium_nev,Partner_ID,Név,Vegtulaj_1_ID,Vegtulaj_1,Vegtulaj_2_ID,Vegtulaj_2,Vegtulaj_3_ID,Vegtulaj_3,Vegtulaj_4_ID,Vegtulaj_4,Vegtulaj_5_ID,Vegtulaj_5,Vegtulaj_6_ID,Vegtulaj_6,Vegtulaj_7_ID,Vegtulaj_7,Vegtulaj_8_ID,Vegtulaj_8,Vegtulaj_9_ID,Vegtulaj_9,Vegtulaj_10_ID,Vegtulaj_1,Vegtulaj_11_ID,Vegtulaj_11
30650,Déli apró ,91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,1421,A&N International Media Limited,,,,,,,,,,,,,,,,,,,,
30654,Délmagyarország,91548,Lapcom Lapkiadó és Nyomdaipari Korlátolt Felelősségü Társaság,1421,A&N International Media Limited,,,,,,,,,,,,,,,,,,,,
30658,Délvilág,199011,"DÉLMAGYARORSZÁG Könyv-, Lapkiadó és Nyomdaipari Korlátolt Felelősségű Társaság",,,,,,,,,,,,,,,,,,,,,,
30680,Diéta & fitnesz,90938,Geomédia Kiadói Zártkörűen Működő Részvénytársaság,245748,GEOHOLDING Vállalkozási Zrt.,,,,,,,,,,,,,,,,,,,,
30681,Digitális fotó,93140,Hologram V.M. Kft.,1205,Vajdics Enikő,1206,Varga Miklós,,,,,,,,,,,,,,,,,,
30739,Dunaújvárosi hírlap,199021,Hírlap Press Kiadói Korlátolt Felelősségű Társaság,1668,Westdeutsche Allgemeine Zeitungsverlag GesmbH und Co Zeitschriften- und Beteiligungs KG.,1637,K & K Medien und Handels GmbH. & Co. KG,1142,Ost Holding GmbH,,,,,,,,,,,,,,,,
30764,Egészség plusz ...,91149,HVG ONLINE Internetes Fejlesztő Kereskedelmi Szolgáltató és Tanácsadó Zártkörűen Működő Részvénytársaság,1142,Ost Holding GmbH,,,,,,,,,,,,,,,,,,,,
30806,Élet és irodalom,91208,Irodalom Lap és Könyvkiadó Kulturális Szolgáltató Korlátolt Felelőségű Társaság,1059,Élet és Irodalom Alapítvány,1060,Élet és Irodalom Baráti Társaság,,,,,,,,,,,,,,,,,,
30819,Elle Magyarország,90054,ADOC-SEMIC Kiadói és Nyomdai Kft.,1613,Doktor Ferenc,1614,Doktorné Galambos Ágnes,,,,,,,,,,,,,,,,,,
30820,Elle man,90054,ADOC-SEMIC Kiadói és Nyomdai Kft.,1613,Doktor Ferenc,1614,Doktorné Galambos Ágnes,,,,,,,,,,,,,,,,,,
30863,Érdi újság,92881,Théma Lapkiadó Kereskedelmi és Szolgáltatási Korlátolt Felelősségű Társaság,1211,Vitézy Tamás,1593,Publication Holding Ltd.,,,,,,,,,,,,,,,,,,
30876,Erzsébetváros,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,
30888,Észak-Magyarország,93346,"INFORM MÉDIA Lapkiadó, Információs és Kulturális Korlátolt Felelősségű Társaság",1093,Inform Media GmbH,,,,,,,,,,,,,,,,,,,,
30909,Europark magazin,90181,Axel Springer- Magyarország Korlátolt Felelősségű Társaság,1352,Bérczi Zsuzsanna,1347,Dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1427,Axel Springer Verlag AG,,,,,,,,,,,,
30914,Éva (lapcsoport),91813,Marquard Média Magyarország Kiadó Korlátolt Felelősségű Társaság,1125,Marquard Media AG,,,,,,,,,,,,,,,,,,,,
30932,Extra frizura,90938,Geomédia Kiadói Zártkörűen Működő Részvénytársaság,245748,GEOHOLDING Vállalkozási Zrt.,,,,,,,,,,,,,,,,,,,,
30956,Fanny (lapcsoport),90180,AXEL SPRINGER-BUDAPEST KIADÓI Kft,1352,Bérczi Zsuzsanna,1347,Dr. Bayer József,1353,Bayer Iván,1354,Bayer Zsuzsanna,1427,Axel Springer Verlag AG,,,,,,,,,,,,
30972,Fehérvár,199068,Városi Televízió Kft.,1187,Székesfehérvár Önkormányzata,,,,,,,,,,,,,,,,,,,,
30973,Fehérvári 7 nap,91798,Maraton Lapcsoport-Multivizió Kiadói Korlátolt Felelősségű Társaság,1142,Ost Holding GmbH,,,,,,,,,,,,,,,,,,,,
30977,Fejér megyei hírlap,199021,Hírlap Press Kiadói Korlátolt Felelősségű Társaság,1668,Westdeutsche Allgemeine Zeitungsverlag GesmbH und Co Zeitschriften- und Beteiligungs KG.,1637,K & K Medien und Handels GmbH. & Co. KG,1142,Ost Holding GmbH,,,,,,,,,,,,,,,,
30986,Kiskunfélegyháza város és körzete szuperinfó,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,
31009,Figyelő (lapcsoport),92564,Sanoma Budapest Kiadói Zártkörűen Működő Részvénytársaság,1171,Sanoma Magazines International B. V.,,,,,,,,,,,,,,,,,,,,
31048,Forró drót,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,
31052,Fotel ,92564,Sanoma Budapest Kiadói Zártkörűen Működő Részvénytársaság,1171,Sanoma Magazines International B. V.,,,,,,,,,,,,,,,,,,,,
31053,Fotel mini ,92564,Sanoma Budapest Kiadói Zártkörűen Működő Részvénytársaság,1171,Sanoma Magazines International B. V.,,,,,,,,,,,,,,,,,,,,
