37910,Bors extra,91092,Lapcom Kiadó Zártkörűen Működő Részvénytársaság,1154,Radio Bridge Media Holding Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,
37952,"Szépség-, és egészségtár ",97854,Helikon Infó Informatikai és Szolgáltató Korlátolt Felelősségű Társaság,1095,Iski Zsolt Ferenc,1159,Rigó Jánosné,1158,Rigó János,,,,,,,,,,,,,,,,,,,,,,
37982,Journal,97116,Absolut Media Zártkörűen Működő Részvénytársaság,1163,ROSARIUM GLOBAL Inc,1022,Botka Tamás,1053,dr. Pongráczné Molnár Ildikó,1162,Román Balázs,,,,,,,,,,,,,,,,,,,,
37983,Home & garden ,100016,Central Médiacsoport Zártkörűen Működő Részvénytársaság (2015.q2-től),1330,Varga Zoltán,1348,Dunai András Zoltán,1336,Szügyi Gergely,1349,Steff József,1328,Ézsöl Gábor,1350,Postásy Csaba,1329,Halász Csilla,1338,Ménesi Dóra Ilona,1339,Hopkins Capital Ltd.,,,,,,,,,,
38003,Lokál extra (lapcsoport),99392,Modern Media Group Befektetési és Vagyonkezelő Zártkörűen Működő Részvénytársaság,1049,dr. Győri Tibor,1081,Habony Árpád,,,,,,,,,,,,,,,,,,,,,,,,
38007,Hello! ,99394,Ripost Média Szolgáltató és Kommunikációs Korlátolt Felelősságű Társaság,1052,dr. Ómolnár Miklós,1176,Schatz Péter,,,,,,,,,,,,,,,,,,,,,,,,
38009,IPM rejtvény (IPM extra rejtvény) ,93140,"MediaCity Magyarország Kiadó, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",1206,Varga Miklós,,,,,,,,,,,,,,,,,,,,,,,,,,
38019,EKÁER a gyakorlatban ,93546,Heti Világgazdaság Kiadói Zártkörűen Működő Részvénytársaság,1317,Szauer Péter,1319,Klinghammer Lászlóné,1321,dr. Juhász Gábor,1322,Jakus Ibolya,1318,Dobszay János,,,,,,,,,,,,,,,,,,
38021,NAV infó ,96789,Szuperinfó Média Hirdető és Lapterjesztő Korlátolt Felelősségű Társaság,1166,Russmedia CEE GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,
38111,K2 ,91092,Lapcom Kiadó Zártkörűen Működő Részvénytársaság,1154,Radio Bridge Media Holding Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,
38112,Számvitel és adó ...,93546,Heti Világgazdaság Kiadói Zártkörűen Működő Részvénytársaság,1317,Szauer Péter,1319,Klinghammer Lászlóné,1321,dr. Juhász Gábor,1322,Jakus Ibolya,1318,Dobszay János,,,,,,,,,,,,,,,,,,
38115,Nyíregyházi napozó ,93039,VÁROS-KÉP Szolgáltató Nonprofit Korlátolt Felelősségű Társaság,1140,Nyíregyháza Önkormányzata,,,,,,,,,,,,,,,,,,,,,,,,,,
38122,Családi lapozó (Familinfó) ,91798,Maraton Lapcsoport-Multivizió Kiadói Korlátolt Felelősségű Társaság,1398,Hanyecz István,1402,Hosszú László József,1403,Szegedi Balázs,1404,Kerekes Csaba,1405,TAC Investment Ltd.,1153,QDW Beteiligungen AG,,,,,,,,,,,,,,,,
38132,Sportfogadás+ ,99425,Mediaworks Hungary Zártkörűen Működő Részvénytársaság,1153,QDW Beteiligungen AG,1398,Hanyecz István,1402,Hosszú László József,1403,Szegedi Balázs,1404,Kerekes Csaba,1405,TAC Investment Ltd.,,,,,,,,,,,,,,,,
38136,Fitt Veszprém ,91798,Maraton Lapcsoport-Multivizió Kiadói Korlátolt Felelősségű Társaság,1398,Hanyecz István,1402,Hosszú László József,1403,Szegedi Balázs,1404,Kerekes Csaba,1405,TAC Investment Ltd.,1153,QDW Beteiligungen AG,,,,,,,,,,,,,,,,
38148,&u magazine,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38160,Kis kobold,92258,Pannon Lapok Társasága Kiadói Korlátolt Felelősségű Társaság,1398,Hanyecz István,1402,Hosszú László József,1403,Szegedi Balázs,1404,Kerekes Csaba,1405,TAC Investment Ltd.,1153,QDW Beteiligungen AG,,,,,,,,,,,,,,,,
38161,Győrvidék,91798,Maraton Lapcsoport-Multivizió Kiadói Korlátolt Felelősségű Társaság,1398,Hanyecz István,1402,Hosszú László József,1403,Szegedi Balázs,1404,Kerekes Csaba,1405,TAC Investment Ltd.,1153,QDW Beteiligungen AG,,,,,,,,,,,,,,,,
38166,Takarék családi magazin,99425,Mediaworks Hungary Zártkörűen Működő Részvénytársaság,1153,QDW Beteiligungen AG,1398,Hanyecz István,1402,Hosszú László József,1403,Szegedi Balázs,1404,Kerekes Csaba,1405,TAC Investment Ltd.,,,,,,,,,,,,,,,,
38186,Középiskola,93546,Heti Világgazdaság Kiadói Zártkörűen Működő Részvénytársaság,1317,Szauer Péter,1319,Klinghammer Lászlóné,1321,dr. Juhász Gábor,1322,Jakus Ibolya,1318,Dobszay János,,,,,,,,,,,,,,,,,,
38224,Hévízi forrás,91798,Maraton Lapcsoport-Multivizió Kiadói Korlátolt Felelősségű Társaság,1398,Hanyecz István,1402,Hosszú László József,1403,Szegedi Balázs,1404,Kerekes Csaba,1405,TAC Investment Ltd.,1153,QDW Beteiligungen AG,,,,,,,,,,,,,,,,
38225,Regényújság ,91092,Lapcom Kiadó Zártkörűen Működő Részvénytársaság,1154,Radio Bridge Media Holding Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,
38226,Szabadidő magazin ,91092,Lapcom Kiadó Zártkörűen Működő Részvénytársaság,1154,Radio Bridge Media Holding Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,
38234,Vágy és végzet ,91092,Lapcom Kiadó Zártkörűen Működő Részvénytársaság,1154,Radio Bridge Media Holding Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,
38235,Hétvégi magazin ,92081,Nemzet Lap- és Könyvkiadó Korlátolt Felelősségű Társaság,1374,Tóth Marianna,1375,Kovács István László,1048,dr. Fonyó Károly,1054,dr. Simicska Lajos,1372,dr. Nagy Ajtony Csaba,,,,,,,,,,,,,,,,,,
38236,Műsorújság ,92081,Nemzet Lap- és Könyvkiadó Korlátolt Felelősségű Társaság,1374,Tóth Marianna,1375,Kovács István László,1048,dr. Fonyó Károly,1054,dr. Simicska Lajos,1372,dr. Nagy Ajtony Csaba,,,,,,,,,,,,,,,,,,
38259,Hotelier international,97116,Absolut Media Zártkörűen Működő Részvénytársaság,1163,ROSARIUM GLOBAL Inc,1022,Botka Tamás,1053,dr. Pongráczné Molnár Ildikó,1162,Román Balázs,,,,,,,,,,,,,,,,,,,,
38321,Real estate review,97116,Absolut Media Zártkörűen Működő Részvénytársaság,1163,ROSARIUM GLOBAL Inc,1022,Botka Tamás,1053,dr. Pongráczné Molnár Ildikó,1162,Román Balázs,,,,,,,,,,,,,,,,,,,,
38322,Szombathelyi 7 nap,92258,Pannon Lapok Társasága Kiadói Korlátolt Felelősségű Társaság,1398,Hanyecz István,1402,Hosszú László József,1403,Szegedi Balázs,1404,Kerekes Csaba,1405,TAC Investment Ltd.,1153,QDW Beteiligungen AG,,,,,,,,,,,,,,,,
38341,Kelet-Nógrád ,99393,Nógrád Hírcentrum Korlátolt Felelősségű Társaság,1208,Vida Károly,1131,Molnár Viktor,,,,,,,,,,,,,,,,,,,,,,,,
38352,A 25 legsikeresebb debreceni üzletember ,96270,www.Napi.hu Online Internetes és Információs Szolgáltató Korlátolt Felelősségű Társaság,1325,dr. Spéder Zoltán István,1326,Central European Media and Publishing a.s.,,,,,,,,,,,,,,,,,,,,,,,,
38353,Otthon magazin ,91798,Maraton Lapcsoport-Multivizió Kiadói Korlátolt Felelősségű Társaság,1398,Hanyecz István,1402,Hosszú László József,1403,Szegedi Balázs,1404,Kerekes Csaba,1405,TAC Investment Ltd.,1153,QDW Beteiligungen AG,,,,,,,,,,,,,,,,
38362,Családinfó ,91108,Hírös Modul Szuperinfó Korlátolt Felelősségű Társaság,1214,Zakar László,1213,Zakar Kristóf,1212,Zakar Dávid,,,,,,,,,,,,,,,,,,,,,,
38367,Autó magazin ,91798,Maraton Lapcsoport-Multivizió Kiadói Korlátolt Felelősségű Társaság,1398,Hanyecz István,1402,Hosszú László József,1403,Szegedi Balázs,1404,Kerekes Csaba,1405,TAC Investment Ltd.,1153,QDW Beteiligungen AG,,,,,,,,,,,,,,,,
38417,Csúcskézi,91798,Maraton Lapcsoport-Multivizió Kiadói Korlátolt Felelősségű Társaság,1398,Hanyecz István,1402,Hosszú László József,1403,Szegedi Balázs,1404,Kerekes Csaba,1405,TAC Investment Ltd.,1153,QDW Beteiligungen AG,,,,,,,,,,,,,,,,
38438,Pápai hírlap ,92258,Pannon Lapok Társasága Kiadói Korlátolt Felelősségű Társaság,1398,Hanyecz István,1402,Hosszú László József,1403,Szegedi Balázs,1404,Kerekes Csaba,1405,TAC Investment Ltd.,1153,QDW Beteiligungen AG,,,,,,,,,,,,,,,,
38457,Neked szól ,96789,Szuperinfó Média Hirdető és Lapterjesztő Korlátolt Felelősségű Társaság,1166,Russmedia CEE GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,
38462,Pont ,91842,"KözPont Újbudai Kulturális, Pedagógiai és Média Korlátolt Felelősségű Társaság",1027,Budapest XI. kerület Önkormányzata,,,,,,,,,,,,,,,,,,,,,,,,,,
38467,Erőforrás térkép ,91092,Lapcom Kiadó Zártkörűen Működő Részvénytársaság,1154,Radio Bridge Media Holding Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,
38484,Sün Barnabás (lapcsoport) ,93346,"Russmedia Lapkiadó, Információs és Kulturális Korlátolt Felelősségű Társaság",1166,Russmedia CEE GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,
38505,Lokál (lapcsoport) ,99392,Modern Media Group Befektetési és Vagyonkezelő Zártkörűen Működő Részvénytársaság,1049,dr. Győri Tibor,1081,Habony Árpád,,,,,,,,,,,,,,,,,,,,,,,,
38534,Kontúr (lapcsoport),93346,"Russmedia Lapkiadó, Információs és Kulturális Korlátolt Felelősségű Társaság",1166,Russmedia CEE GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,
38603,Adóellenőrzés a gyakorlatban ,93546,Heti Világgazdaság Kiadói Zártkörűen Működő Részvénytársaság,1317,Szauer Péter,1319,Klinghammer Lászlóné,1321,dr. Juhász Gábor,1322,Jakus Ibolya,1318,Dobszay János,,,,,,,,,,,,,,,,,,
38624,Esküvő magazin ,91108,Hírös Modul Szuperinfó Korlátolt Felelősségű Társaság,1214,Zakar László,1213,Zakar Kristóf,1212,Zakar Dávid,,,,,,,,,,,,,,,,,,,,,,
38626,Apa magazin,91813,Marquard Média Magyarország Kiadó Korlátolt Felelősségű Társaság,1125,Marquard Media AG,,,,,,,,,,,,,,,,,,,,,,,,,,
38676,Grabo cégtükör ,91092,Lapcom Kiadó Zártkörűen Működő Részvénytársaság,1154,Radio Bridge Media Holding Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,
38693,Ripost,99394,Ripost Média Szolgáltató és Kommunikációs Korlátolt Felelősságű Társaság,1052,dr. Ómolnár Miklós,1176,Schatz Péter,,,,,,,,,,,,,,,,,,,,,,,,
38717,Rejtvény tipp ,92258,Pannon Lapok Társasága Kiadói Korlátolt Felelősségű Társaság,1398,Hanyecz István,1402,Hosszú László József,1403,Szegedi Balázs,1404,Kerekes Csaba,1405,TAC Investment Ltd.,1153,QDW Beteiligungen AG,,,,,,,,,,,,,,,,
38723,7próba skandi,90180,Ringier Axel Springer Magyarország Korlátolt Felelősségű Társaság,1161,Ringier Axel Springer Media AG,,,,,,,,,,,,,,,,,,,,,,,,,,
38725,7próba rejtvénymagazin ,90180,Ringier Axel Springer Magyarország Korlátolt Felelősségű Társaság,1161,Ringier Axel Springer Media AG,,,,,,,,,,,,,,,,,,,,,,,,,,
38730,Pulykatrend ,91813,Marquard Média Magyarország Kiadó Korlátolt Felelősségű Társaság,1125,Marquard Media AG,,,,,,,,,,,,,,,,,,,,,,,,,,
38736,BÉT50 ,93140,"MediaCity Magyarország Kiadó, Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság",1206,Varga Miklós,,,,,,,,,,,,,,,,,,,,,,,,,,
38784,Forintos ,99425,Mediaworks Hungary Zártkörűen Működő Részvénytársaság,1153,QDW Beteiligungen AG,1398,Hanyecz István,1402,Hosszú László József,1403,Szegedi Balázs,1404,Kerekes Csaba,1405,TAC Investment Ltd.,,,,,,,,,,,,,,,,
38867,14 nap műsorfüzet ,90180,Ringier Axel Springer Magyarország Korlátolt Felelősségű Társaság,1161,Ringier Axel Springer Media AG,,,,,,,,,,,,,,,,,,,,,,,,,,
38889,Új Főnix Terv ,90518,Médiacentrum Debrecen Korlátolt Felelősségű Társaság,1425,Debrecen Önkormányzata,,,,,,,,,,,,,,,,,,,,,,,,,,
50001,168ora.hu,92851,Telegráf Kiadó Korlátolt Felelősségű Társaság,1373,Megyeri András Jonatán,1387,Mester Ákos,1386,Bölcs Ádám,1384,Bölcs Dóra,1385,Bölcs István,1512,Brit Europe Foundation,,,,,,,,,,,,,,,,
50002,24ora.hu,99425,Mediaworks Hungary Zártkörűen Működő Részvénytársaság,1153,QDW Beteiligungen AG,1398,Hanyecz István,1402,Hosszú László József,1403,Szegedi Balázs,1404,Kerekes Csaba,1405,TAC Investment Ltd.,,,,,,,,,,,,,,,,
50005,50plusz.hu,99223,Central Digitális Média Korlátolt Felelősségű Társaság,1330,Varga Zoltán,1348,Dunai András Zoltán,1336,Szügyi Gergely,1349,Steff József,1328,Ézsöl Gábor,1350,Postásy Csaba,1329,Halász Csilla,1338,Ménesi Dóra Ilona,1339,Hopkins Capital Ltd.,,,,,,,,,,
50018,adozona.hu,93546,Heti Világgazdaság Kiadói Zártkörűen Működő Részvénytársaság,1317,Szauer Péter,1319,Klinghammer Lászlóné,1321,dr. Juhász Gábor,1322,Jakus Ibolya,1318,Dobszay János,,,,,,,,,,,,,,,,,,
50026,alompar.hu,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50033,anyuci.hu,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50036,apuci.hu,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50039,astronet.hu,99425,Mediaworks Hungary Zártkörűen Működő Részvénytársaság,1153,QDW Beteiligungen AG,1398,Hanyecz István,1402,Hosszú László József,1403,Szegedi Balázs,1404,Kerekes Csaba,1405,TAC Investment Ltd.,,,,,,,,,,,,,,,,
50040,atv.hu,90167,ATV Első Magyar Magántelevíziós Zártkörűen Működő Részvénytársaság,1376,HIT ÉS ERKÖLCS KULTURÁLIS ALAP,1377,HIT GYÜLEKEZETE,1378,X & A Marketing and Holding Limited,1137,Németh Sándor,,,,,,,,,,,,,,,,,,,,
50049,automotor.hu,99425,Mediaworks Hungary Zártkörűen Működő Részvénytársaság,1153,QDW Beteiligungen AG,1398,Hanyecz István,1402,Hosszú László József,1403,Szegedi Balázs,1404,Kerekes Csaba,1405,TAC Investment Ltd.,,,,,,,,,,,,,,,,
50050,autonavigator.hu,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50051,autopro.hu,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50058,babaszoba.hu,99223,Central Digitális Média Korlátolt Felelősségű Társaság,1330,Varga Zoltán,1348,Dunai András Zoltán,1336,Szügyi Gergely,1349,Steff József,1328,Ézsöl Gábor,1350,Postásy Csaba,1329,Halász Csilla,1338,Ménesi Dóra Ilona,1339,Hopkins Capital Ltd.,,,,,,,,,,
50061,bama.hu,99425,Mediaworks Hungary Zártkörűen Működő Részvénytársaság,1153,QDW Beteiligungen AG,1398,Hanyecz István,1402,Hosszú László József,1403,Szegedi Balázs,1404,Kerekes Csaba,1405,TAC Investment Ltd.,,,,,,,,,,,,,,,,
50063,baon.hu,99425,Mediaworks Hungary Zártkörűen Működő Részvénytársaság,1153,QDW Beteiligungen AG,1398,Hanyecz István,1402,Hosszú László József,1403,Szegedi Balázs,1404,Kerekes Csaba,1405,TAC Investment Ltd.,,,,,,,,,,,,,,,,
50070,beol.hu,99425,Mediaworks Hungary Zártkörűen Működő Részvénytársaság,1153,QDW Beteiligungen AG,1398,Hanyecz István,1402,Hosszú László József,1403,Szegedi Balázs,1404,Kerekes Csaba,1405,TAC Investment Ltd.,,,,,,,,,,,,,,,,
50077,birodalom.hu,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50083,blikk.hu,98903,Blikk Korlátolt Felelősségű Társaság,1161,Ringier Axel Springer Media AG,,,,,,,,,,,,,,,,,,,,,,,,,,
50084,blog.hu,93343,Inda-Labs Informatikai Szolgáltató Zárkörűen Működő Részvénytársaság,1325,dr. Spéder Zoltán István,1326,Central European Media and Publishing a.s.,,,,,,,,,,,,,,,,,,,,,,,,
50085,blogger.hu,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50090,bmhirlap.hu,99425,Mediaworks Hungary Zártkörűen Működő Részvénytársaság,1153,QDW Beteiligungen AG,1398,Hanyecz István,1402,Hosszú László József,1403,Szegedi Balázs,1404,Kerekes Csaba,1405,TAC Investment Ltd.,,,,,,,,,,,,,,,,
50094,boon.hu,93346,"Russmedia Lapkiadó, Információs és Kulturális Korlátolt Felelősségű Társaság",1166,Russmedia CEE GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,
50098,borsonline.hu,91092,Lapcom Kiadó Zártkörűen Működő Részvénytársaság,1154,Radio Bridge Media Holding Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,
50107,cgr.hu,91092,Lapcom Kiadó Zártkörűen Működő Részvénytársaság,1154,Radio Bridge Media Holding Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,
50111,citromail.hu,99223,Central Digitális Média Korlátolt Felelősségű Társaság,1330,Varga Zoltán,1348,Dunai András Zoltán,1336,Szügyi Gergely,1349,Steff József,1328,Ézsöl Gábor,1350,Postásy Csaba,1329,Halász Csilla,1338,Ménesi Dóra Ilona,1339,Hopkins Capital Ltd.,,,,,,,,,,
50116,commune.hu,93258,Russmedia Digital Szolgáltató Korlátolt Felelősségű Társaság,1166,Russmedia CEE GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,
50119,cosmopolitan.hu,91051,Hearst Central Kiadói Korlátolt Felelősségű Társaság,1336,Szügyi Gergely,1330,Varga Zoltán,1328,Ézsöl Gábor,1329,Halász Csilla,1338,Ménesi Dóra Ilona,1339,Hopkins Capital Ltd.,,,,,,,,,,,,,,,,
50120,cotcot.hu,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50122,cvonline.hu,93258,Russmedia Digital Szolgáltató Korlátolt Felelősségű Társaság,1166,Russmedia CEE GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,
50131,data.hu,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50134,dehir.hu,90518,Médiacentrum Debrecen Korlátolt Felelősségű Társaság,1425,Debrecen Önkormányzata,,,,,,,,,,,,,,,,,,,,,,,,,,
50135,deliapro.hu,91092,Lapcom Kiadó Zártkörűen Működő Részvénytársaság,1154,Radio Bridge Media Holding Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,
50136,delmagyar.hu,91092,Lapcom Kiadó Zártkörűen Működő Részvénytársaság,1154,Radio Bridge Media Holding Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,
50139,duol.hu (dh-online.hu),92258,Pannon Lapok Társasága Kiadói Korlátolt Felelősségű Társaság,1398,Hanyecz István,1402,Hosszú László József,1403,Szegedi Balázs,1404,Kerekes Csaba,1405,TAC Investment Ltd.,1153,QDW Beteiligungen AG,,,,,,,,,,,,,,,,
50145,divat.hu,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50149,donna.hu,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50150,donnalight.hu,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50153,dunantulinaplo.hu,99425,Mediaworks Hungary Zártkörűen Működő Részvénytársaság,1153,QDW Beteiligungen AG,1398,Hanyecz István,1402,Hosszú László József,1403,Szegedi Balázs,1404,Kerekes Csaba,1405,TAC Investment Ltd.,,,,,,,,,,,,,,,,
50157,echotv.hu,90648,"Echo Hungária TV Televíziózási, Kommunikációs és Szolgáltató Zártkörű Részvénytársaság",1388,Mészáros Lőrinc,1390,Mészárosné Kelemen Beatrix Csilla,,,,,,,,,,,,,,,,,,,,,,,,
50159,edenkert.hu,93258,Russmedia Digital Szolgáltató Korlátolt Felelősségű Társaság,1166,Russmedia CEE GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,
50160,eduline.hu,93546,Heti Világgazdaság Kiadói Zártkörűen Működő Részvénytársaság,1317,Szauer Péter,1319,Klinghammer Lászlóné,1321,dr. Juhász Gábor,1322,Jakus Ibolya,1318,Dobszay János,,,,,,,,,,,,,,,,,,
50166,eharlequin.hu,90180,Ringier Axel Springer Magyarország Korlátolt Felelősségű Társaság,1161,Ringier Axel Springer Media AG,,,,,,,,,,,,,,,,,,,,,,,,,,
50169,ellemagazin.hu (elle.hu),91051,Hearst Central Kiadói Korlátolt Felelősségű Társaság,1336,Szügyi Gergely,1330,Varga Zoltán,1328,Ézsöl Gábor,1329,Halász Csilla,1338,Ménesi Dóra Ilona,1339,Hopkins Capital Ltd.,,,,,,,,,,,,,,,,
50172,eoldal.hu,99223,Central Digitális Média Korlátolt Felelősségű Társaság,1330,Varga Zoltán,1348,Dunai András Zoltán,1336,Szügyi Gergely,1349,Steff József,1328,Ézsöl Gábor,1350,Postásy Csaba,1329,Halász Csilla,1338,Ménesi Dóra Ilona,1339,Hopkins Capital Ltd.,,,,,,,,,,
50180,eszak.hu,93346,"Russmedia Lapkiadó, Információs és Kulturális Korlátolt Felelősségű Társaság",1166,Russmedia CEE GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,
50182,evamagazin.hu,91813,Marquard Média Magyarország Kiadó Korlátolt Felelősségű Társaság,1125,Marquard Media AG,,,,,,,,,,,,,,,,,,,,,,,,,,
50188,f1csatorna.hu,92258,Pannon Lapok Társasága Kiadói Korlátolt Felelősségű Társaság,1398,Hanyecz István,1402,Hosszú László József,1403,Szegedi Balázs,1404,Kerekes Csaba,1405,TAC Investment Ltd.,1153,QDW Beteiligungen AG,,,,,,,,,,,,,,,,
50198,farm.hu,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50199,fashion.hu,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50210,feol.hu (fmh.hu),92258,Pannon Lapok Társasága Kiadói Korlátolt Felelősségű Társaság,1398,Hanyecz István,1402,Hosszú László József,1403,Szegedi Balázs,1404,Kerekes Csaba,1405,TAC Investment Ltd.,1153,QDW Beteiligungen AG,,,,,,,,,,,,,,,,
50212,24.hu/fn/ (fn.hu),100016,Central Médiacsoport Zártkörűen Működő Részvénytársaság (2015.q2-től),1330,Varga Zoltán,1348,Dunai András Zoltán,1336,Szügyi Gergely,1349,Steff József,1328,Ézsöl Gábor,1350,Postásy Csaba,1329,Halász Csilla,1338,Ménesi Dóra Ilona,1339,Hopkins Capital Ltd.,,,,,,,,,,
50217,forum.index.hu,93343,Inda-Labs Informatikai Szolgáltató Zárkörűen Működő Részvénytársaság,1325,dr. Spéder Zoltán István,1326,Central European Media and Publishing a.s.,,,,,,,,,,,,,,,,,,,,,,,,
50224,freemail.hu,92176,Origo Média és Kommunikációs Szolgáltató Zártkörűen Működő Részvénytársaság,1017,BAWACO INVEST s.r.o.,,,,,,,,,,,,,,,,,,,,,,,,,,
50241,geographic.hu,100016,Central Médiacsoport Zártkörűen Működő Részvénytársaság (2015.q2-től),1330,Varga Zoltán,1348,Dunai András Zoltán,1336,Szügyi Gergely,1349,Steff József,1328,Ézsöl Gábor,1350,Postásy Csaba,1329,Halász Csilla,1338,Ménesi Dóra Ilona,1339,Hopkins Capital Ltd.,,,,,,,,,,
50243,glamouronline.hu (glamour.hu),90180,Ringier Axel Springer Magyarország Korlátolt Felelősségű Társaság,1161,Ringier Axel Springer Media AG,,,,,,,,,,,,,,,,,,,,,,,,,,
50249,gphirek.hu,92176,Origo Média és Kommunikációs Szolgáltató Zártkörűen Működő Részvénytársaság,1017,BAWACO INVEST s.r.o.,,,,,,,,,,,,,,,,,,,,,,,,,,
50251,gportal.hu,999999,Egyéb üzemeltető,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50256,gyaszhir.hu,93346,"Russmedia Lapkiadó, Információs és Kulturális Korlátolt Felelősségű Társaság",1166,Russmedia CEE GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,
50270,haon.hu,93346,"Russmedia Lapkiadó, Információs és Kulturális Korlátolt Felelősségű Társaság",1166,Russmedia CEE GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,
50282,haziallat.hu,93258,Russmedia Digital Szolgáltató Korlátolt Felelősségű Társaság,1166,Russmedia CEE GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,
50284,hazipatika.com,99223,Central Digitális Média Korlátolt Felelősségű Társaság,1330,Varga Zoltán,1348,Dunai András Zoltán,1336,Szügyi Gergely,1349,Steff József,1328,Ézsöl Gábor,1350,Postásy Csaba,1329,Halász Csilla,1338,Ménesi Dóra Ilona,1339,Hopkins Capital Ltd.,,,,,,,,,,
50288,heol.hu,99425,Mediaworks Hungary Zártkörűen Működő Részvénytársaság,1153,QDW Beteiligungen AG,1398,Hanyecz István,1402,Hosszú László József,1403,Szegedi Balázs,1404,Kerekes Csaba,1405,TAC Investment Ltd.,,,,,,,,,,,,,,,,
50289,valasz.hu (hetivalasz.hu),91084,Heti Válasz Lap- és Könyvkiadó Szolgáltató Korlátolt Felelősségű Társaság,1051,dr. Nyerges Zsolt,1372,dr. Nagy Ajtony Csaba,1374,Tóth Marianna,1375,Kovács István László,1054,dr. Simicska Lajos,1048,dr. Fonyó Károly,,,,,,,,,,,,,,,,
50291,hevesmegyeihirlap.hu,99425,Mediaworks Hungary Zártkörűen Működő Részvénytársaság,1153,QDW Beteiligungen AG,1398,Hanyecz István,1402,Hosszú László József,1403,Szegedi Balázs,1404,Kerekes Csaba,1405,TAC Investment Ltd.,,,,,,,,,,,,,,,,
50296,24.hu (hir24.hu),99223,Central Digitális Média Korlátolt Felelősségű Társaság,1330,Varga Zoltán,1348,Dunai András Zoltán,1336,Szügyi Gergely,1349,Steff József,1328,Ézsöl Gábor,1350,Postásy Csaba,1329,Halász Csilla,1338,Ménesi Dóra Ilona,1339,Hopkins Capital Ltd.,,,,,,,,,,
50298,hirado.hu,98886,Új Média és Teletext Szolgáltató Korlátolt Felelősségű Társaság,1119,Magyar Állam,,,,,,,,,,,,,,,,,,,,,,,,,,
50307,hirstart.hu,100016,Central Médiacsoport Zártkörűen Működő Részvénytársaság (2015.q2-től),1330,Varga Zoltán,1348,Dunai András Zoltán,1336,Szügyi Gergely,1349,Steff József,1328,Ézsöl Gábor,1350,Postásy Csaba,1329,Halász Csilla,1338,Ménesi Dóra Ilona,1339,Hopkins Capital Ltd.,,,,,,,,,,
50308,hirszerzo.hu,93546,Heti Világgazdaság Kiadói Zártkörűen Működő Részvénytársaság,1317,Szauer Péter,1319,Klinghammer Lászlóné,1321,dr. Juhász Gábor,1322,Jakus Ibolya,1318,Dobszay János,,,,,,,,,,,,,,,,,,
