Cég ID,Cégnév,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
92324,Petőfi Lap- és Könyvkiadó Korlátolt Felelősségű Társaság,"6000 Kecskemét, Szabadság tér 1/a.","6000 Kecskemét, Szabadság tér 1/a.","6000 Kecskemét, Szabadság tér 1/a.","6000 Kecskemét, Szabadság tér 1/a.","6000 Kecskemét, Szabadság tér 1/a.","6000 Kecskemét, Szabadság tér 1/a.","6000 Kecskemét, Szabadság tér 1/a.","6000 Kecskemét, Szabadság tér 1/a.","6000 Kecskemét, Széchenyi krt 29.","6000 Kecskemét, Széchenyi krt 29.","6000 Kecskemét, Széchenyi krt 29.","6000 Kecskemét, Széchenyi krt 29.",
199058,Piac és Marketing Kft.,,,,,,,"6722 Szeged, Mérey 6/B","6722 Szeged, Attila 16","6722 Szeged, Attila 16","6722 Szeged, Attila 16",,,
92333,Piac és Profit Kiadó Korlátolt Felelősségű Társaság,"1061 Budapest, Paulay Ede u. 41.","1134 Budapest, Dózsa György út 144.","1134 Budapest, Dózsa György út 144.","1134 Budapest, Dózsa György út 144.","1134 Budapest, Dózsa György út 144.","1134 Budapest, Dózsa György út 144.","1134 Budapest, Dózsa György út 144.","1134 Budapest, Dózsa György út 144.","1134 Budapest, Dózsa György út 144.","1134 Budapest, Dózsa György út 144.","1134 Budapest, Dózsa György út 144.","1134 Budapest, Dózsa György út 144.",
92368,POP Print és Online Piac Korlátolt Felelősségű Társaság,,,,,,,,,,,,,
199059,PORTA Ingatlanközvetítő és Reklámszervező Gazdasági Munkaközösség,"3580 Tiszaújváros, Bethlen G.u.23.sz.","3580 Tiszaújváros, Bethlen G.u.23.sz.",,,,,,,,,,,
96008,Press+Print Kft.,"2340 Kiskunlacháza, Gábor A u 2/a.","2340 Kiskunlacháza, Gábor A u 2/a.","2340 Kiskunlacháza, Gábor A u 2/a.","2340 Kiskunlacháza, Gábor A u 2/a.","2340 Kiskunlacháza, Gábor A u 2/a.","2340 Kiskunlacháza, Gábor A u 2/a.","2340 Kiskunlacháza, Gábor A u 2/a.","2340 Kiskunlacháza, Gábor A u 2/a.","2340 Kiskunlacháza, Gábor A u 2/a.","2340 Kiskunlacháza, Gábor A u 2/a.","2340 Kiskunlacháza, Gábor A u 2/a.","2340 Kiskunlacháza, Gábor A u 2/a.",
92403,PROGETTO MÉDIA Szolgáltató Korlátolt Felelősségű Társaság,,,,,,,,,"1067 Budapest, Teréz krt. 33. 4. em. 31.","1067 Budapest, Teréz krt. 33. 4. em. 31.","1067 Budapest, Teréz krt. 33. 4. em. 31.","1065 Budapest, Bajcsy Zs út 63.",
92404,Progressio Lapkiadó és Szolgáltató Kft.,"1082 Budapest, Baross u. 61.","1082 Budapest, Baross u. 61.","1082 Budapest, Baross u. 61.","1082 Budapest, Baross u. 61.","1082 Budapest, Baross u. 61.","1082 Budapest, Baross u. 61.","1082 Budapest, Baross u. 61.","1082 Budapest, Baross u. 61.","1082 Budapest, Baross u. 61.","1082 Budapest, Baross u. 61.","1082 Budapest, Baross u. 61.","1082 Budapest, Baross u. 61.",
92443,Rádió 1 Rádióműsort Készítő és Közlő Korlátolt Felelősségű Társaság,"1087 Budapest, Kerepesi út 29/b.","1087 Budapest, Kerepesi 27","1062 Budapest, Andrássy 86","1062 Budapest, Andrássy 86","1062 Budapest, Andrássy 86","1062 Budapest, Andrássy 86","1062 Budapest, Andrássy 86","1016 Budapest, Mészáros u 58. B. ép. 3. em.","1016 Budapest, Mészáros u 58. B. ép. 3. em.","1016 Budapest, Mészáros u 58. B. ép. 3. em.","1016 Budapest, Mészáros u 58. B. ép. 3. em.","1016 Budapest, Mészáros u 58. B. ép. 3. em.",
92455,Rádió Juventus Műsorszolgáltató Részvénytársaság,,,"1135 Budapest, Róbert Károly körút 82-84.","1135 Budapest, Róbert Károly körút 82-84.","1135 Budapest, Róbert Károly körút 82-84.","1135 Budapest, Róbert Károly körút 82-84.","1135 Budapest, Róbert Károly körút 82-84.","1135 Budapest, Róbert Károly körút 82-84.","1135 Budapest, Róbert Károly körút 82-84.","1135 Budapest, Róbert Károly körút 82-84.","1135 Budapest, Róbert Károly körút 82-84.","1135 Budapest, Róbert Károly körút 82-84.",
92513,RF-HOBBY Lapkiadó Korlátolt Felelősségű Társaság,,,,,,,"2120 Dunakeszi, Gida út 3.","2120 Dunakeszi, Gida út 3.","2120 Dunakeszi, Gida út 3.","2120 Dunakeszi, Gida út 3.","1139 Budapest, Váci út 85. III. em.","1139 Budapest, Váci út 85. III. em.",
92518,Ringier Kiadó Korlátolt Felelősségű Társaság,"1134 Budapest, Róbert K. krt. 61-65.","1134 Budapest, Róbert K. krt. 61-65.","1141 Budapest, Szugló u 83-85.","1141 Budapest, Szugló u 83-85.","1141 Budapest, Szugló u 83-85.","1141 Budapest, Szugló u 83-85.","1141 Budapest, Szugló u 83-85.","1141 Budapest, Szugló u 83-85.","1141 Budapest, Szugló u. 81-85.","1141 Budapest, Szugló u. 81-85.","1141 Budapest, Szugló u. 81-85.","1141 Budapest, Szugló u. 81-85.",
92564,Sanoma Budapest Kiadói Zártkörűen Működő Részvénytársaság,,,,"1037 Budapest, Bokor u 15-19.","1037 Budapest, Bokor u 15-19.","1037 Budapest, Bokor u 15-19.","1037 Budapest, Bokor u 15-19.","1037 Budapest, Bokor u 15-19.","1037 Budapest, Montevideo u 9.","1037 Budapest, Montevideo u 9.","1037 Budapest, Montevideo u 9.","1037 Budapest, Montevideo u 9.",
92565,Sanoma Digital Media Zrt.,,,,,,,,"1025 Budapest, Csatárka utca 82-84.","1037 Budapest, Montevideo u 9.","1037 Budapest, Montevideo u 9.","1037 Budapest, Montevideo u 9.","1037 Budapest, Montevideo u 9.",
93480,Sláger Rádió Műsorszolgáltató Részvénytársaság,"2040 Budaörs, Szabadság út 117.","2040 Budaörs, Szabadság út 117.","2040 Budaörs, Szabadság út 117.","2040 Budaörs, Szabadság út 117.","2040 Budaörs, Szabadság út 117.","2040 Budaörs, Szabadság út 117.","1011 Budapest, Fő utca 14.","1011 Budapest, Fő utca 14.","1011 Budapest, Fő utca 14.","1011 Budapest, Fő utca 14.","1011 Budapest, Fő utca 14.","1011 Budapest, Fő utca 14.",
199060,Spektrum-TV Rt,"1111 Budapest, Budafoki út 59.","1111 Budapest, Budafoki út 59.","1111 Budapest, Budafoki út 59.","1111 Budapest, Budafoki út 59.","1117 Budapest, Irinyi J u 4-20.","1117 Budapest, Irinyi J u 4-20.","1117 Budapest, Irinyi J u 4-20.","1117 Budapest, Irinyi J u 4-20.","1117 Budapest, Irinyi J u 4-20.","1117 Budapest, Irinyi J u 4-20.","1139 Budapest, Lomb utca 23-27.",,
199061,Sport1 TV Műsorszolgáltató Zrt.,,,"1139 Budapest, Lomb u 23-27.","1139 Budapest, Lomb u 23-27.","1139 Budapest, Lomb u 23-27.","1139 Budapest, Lomb u 23-27.","1139 Budapest, Lomb u 23-27.","1139 Budapest, Lomb u 23-27.","1139 Budapest, Lomb u 23-27.","1139 Budapest, Lomb u 23-27.",,,
92645,Sprint Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság,"1025 Budapest, Szalamandra u. 26.","1137 Budapest, Újpesti rakpart 7.","1137 Budapest, Újpesti rakpart 7.","1137 Budapest, Újpesti rakpart 7.","1137 Budapest, Újpesti rakpart 7.","1137 Budapest, Újpesti rakpart 7.","1137 Budapest, Újpesti rakpart 7.","1137 Budapest, Újpesti rakpart 7.","1137 Budapest, Újpesti rakpart 7.","1137 Budapest, Újpesti rakpart 7.","1137 Budapest, Újpesti rakpart 7.","1137 Budapest, Újpesti rakpart 7.",
199062,Strigonium Számviteli és Gazdasági Tanácsadó Zártkörűen Működő Részvénytársaság,"2500 Esztergom, Bottyán János u 3.","2500 Esztergom, Bottyán János u 3.","2500 Esztergom, Deák Ferenc utca 4.","2500 Esztergom, Deák Ferenc utca 4.","2500 Esztergom, Deák Ferenc utca 4.","2500 Esztergom, Deák Ferenc utca 4.","2500 Esztergom, Deák Ferenc utca 4.","2500 Esztergom, Deák Ferenc utca 4.","2500 Esztergom, Deák Ferenc utca 4.","2500 Esztergom, Deák Ferenc utca 4.","2500 Esztergom, Deák Ferenc utca 4.","2500 Esztergom, Deák Ferenc utca 4.",
96037,Stringonium Press Kft.,,,,,,,,,,,,"1061 Budapest, Andrássy út 14.",
199063,Szabad Föld Lap- és Könyvkiadó Részvénytársaság,"1133 Budapest, Visegrádi u. 116. sz.","1133 Budapest, Visegrádi u. 116. sz.","1133 Budapest, Visegrádi u. 116. sz.","1133 Budapest, Visegrádi u. 116. sz.","1133 Budapest, Visegrádi u. 116. sz.","1133 Budapest, Visegrádi u. 116. sz.","1125 Budapest, Istenhegyi út 59-61.",,,,,,
