Cég ID,Cégnév,Nettó árbevétel 1998 (Ezer Ft),Adózott eredmény 1998 (Ezer Ft),Üzemi eredmény 1998 (Ezer Ft),Nettó árbevétel 1999 (Ezer Ft),Adózott eredmény 1999 (Ezer Ft),Üzemi eredmény 1999 (Ezer Ft),Nettó árbevétel 2000 (Ezer Ft),Adózott eredmény 2000 (Ezer Ft),Üzemi eredmény 2000 (Ezer Ft),Nettó árbevétel 2001 (Ezer Ft),Adózott eredmény 2001 (Ezer Ft),Üzemi eredmény 2001 (Ezer Ft),Nettó árbevétel 2002 (Ezer Ft),Adózott eredmény 2002 (Ezer Ft),Üzemi eredmény 2002 (Ezer Ft),Nettó árbevétel 2003 (Ezer Ft),Adózott eredmény 2003 (Ezer Ft),Üzemi eredmény 2003 (Ezer Ft),Nettó árbevétel 2004 (Ezer Ft),Adózott eredmény 2004 (Ezer Ft),Üzemi eredmény 2004 (Ezer Ft),Nettó árbevétel 2005 (Ezer Ft),Adózott eredmény 2005 (Ezer Ft),Üzemi eredmény 2005 (Ezer Ft),Nettó árbevétel 2006 (Ezer Ft),Adózott eredmény 2006 (Ezer Ft),Üzemi eredmény 2006 (Ezer Ft),Nettó árbevétel 2007 (Ezer Ft),Adózott eredmény 2007 (Ezer Ft),Üzemi eredmény 2007 (Ezer Ft),Nettó árbevétel 2008 (Ezer Ft),Adózott eredmény 2008 (Ezer Ft),Üzemi eredmény 2008 (Ezer Ft),Nettó árbevétel 2009 (Ezer Ft),Adózott eredmény 2009 (Ezer Ft),Üzemi eredmény 2009 (Ezer Ft)
199030,HÍD Rádió Műsorkészítő és Sugárzó Korlátolt Felelősségű Társaság,,,,492465,-173159,-169981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91092,Híd Rádió Műsorkészítő és Sugárzó Zártkörűen Működő Részvénytársaság,,,,,,,731648,-352497,-347808,2424645,-507073,-503618,2101612,-328595,-329384,2051851,-35732,-26231,1498698,-649290,-595927,1178121,-644347,-722791,1587951,-365400,-370573,1727948,-264163,-272080,1843285,-310956,-306639,2115060,-18598,-9981
91112,Hír Televízió Rt.,,,,,,,,,,,,,0,-102186,-108369,978711,-550515,-509821,1802241,84433,-62073,2226767,-132550,-107303,2638601,163149,-156420,4187391,444428,449162,5195475,286870,386736,5229680,75604,434094
199031,"HÍR-NÉV 2000 Gyártó, Kereskedelmi és Szolgáltató Betéti Társaság",,,,,,,,,,,,,,,,2424,328,409,4268,116,172,23149,18040,21512,24850,20262,23989,15540,11300,15177,4920,2135,2669,2775,446,610
199032,Hungarian Broadcasting Corporation Televíziós Rt,,,,52953,-348495,-401198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91149,HVG ONLINE Internetes Fejlesztő Kereskedelmi Szolgáltató és Tanácsadó Zártkörűen Működő Részvénytársaság,,,,,,,,,,150324,1020,-5968,156628,-2877,-11576,183274,19744,12022,205041,32265,17667,252407,13052,2837,372581,5921,-1869,544195,5266,440,811674,32964,28625,670071,-98142,-103071
91168,IKO Kábeltévé Kft.,,,,,,,,,,,,,,,,100000,-21442,-27455,575086,-118065,-137892,1513422,3308,63445,3529397,207685,198685,3175469,-247362,-99137,3537967,322623,-95565,4126737,207573,-66720
91177,IMPRESS-RÉGIÓ Kiadó és Szolgáltató Korlátolt Felelősségű Társaság,,,,119132,34647,47519,150132,41734,50561,173136,41788,50733,166027,21384,26242,175095,64746,50745,184492,60490,54307,188552,49282,50166,210234,56051,54531,206292,34211,33259,190599,7445,1805,202927,34638,20396
91183,INFO-24. TV Televíziós Zártkörűen Müködő Részvénytársaság,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9152,959,1103,32225,1658,2046
199033,INFOPRESS 91 Kereskedelmi és Szolgáltató Betéti Társaság,,,,19897,-2144,,34380,1384,,,,,,,,0,0,0,57775,0,394,54774,-7095,-6933,58923,4886,4951,60274,8533,9910,35320,7626,8780,,,
91186,Inforádió Műsorszolgáltató Korlátolt Felelősségű Társaság,,,,0,-1649,-1918,80336,-47538,-67404,,,,680561,66640,68789,496055,-18425,-20175,573359,-9963,-15970,591880,19269,11901,605551,3628,-5820,652218,-21497,-27374,678055,-44968,-47998,669216,-63582,-60785
93346,"INFORM MÉDIA Lapkiadó, Információs és Kulturális Korlátolt Felelősségű Társaság",,,,,,,,,,,,,,,,6102813,491806,706963,6532405,1235726,1157792,6772758,1027056,1154455,7499684,-1956527,1239701,7272477,1152246,1232085,7668615,1260609,1422997,6526768,680925,935976
