Médium ID,Médium márkaneve,Médiatípus,Hír=1; nem hír=0
54244,sopronhirado.hu,internet,1
54245,szegedhirado.hu,internet,1
54246,szekesfehervarhirado.hu,internet,1
54247,szekszardhirado.hu,internet,1
54248,szentendrehirado.hu,internet,1
54249,szenteshirado.hu,internet,1
54250,szigetszentmikloshirado.hu,internet,1
54251,szolnokhirado.hu,internet,1
54252,szombathelyhirado.hu,internet,1
54253,tapolcahirado.hu,internet,1
54254,tatabanyahirado.hu,internet,1
54255,tiszaujvaroshirado.hu,internet,1
54256,torokszentmikloshirado.hu,internet,1
54257,vachirado.hu,internet,1
54258,vasarosnamenyhirado.hu,internet,1
54259,vecseshirado.hu,internet,1
54260,veszpremhirado.hu,internet,1
54261,zalaegerszeghirado.hu,internet,1
54266,profit7.hu,internet,0
54281,jeans.hu,internet,0
54308,pestisracok.hu,internet,1
54311,haszonagrar.hu,internet,0
54312,haszonnoknek.hu,internet,0
54358,napiuzlet.com,internet,0
54359,vs.hu,internet,1
54384,ovi-suli.hu,internet,0
54442,kremmania.hu,internet,0
54445,magyaridok.hu (napigazdasag.hu),internet,1
54458,supertv2.hu,internet,0
54526,welovebudapest.com,internet,0
54567,nyiregyhaza.szuperinfo.hu,internet,0
54573,keszin.hu (kecskemet.szuperinfo.hu),internet,0
54585,hatvanhirado.hu,internet,1
54661,welovebalaton.hu,internet,0
54727,m2mzona.hu,internet,0
54729,nullahategy.hu,internet,0
54760,menshealth.hu,internet,0
54764,reblog.hu,internet,0
54771,szivderito.hu,internet,0
54836,recepttar.hu,internet,0
54936,lokal.hu,internet,1
54937,nool.hu (nhc24.hu),internet,1
54938,ripost.hu,internet,0
54951,ceginfo.hu,internet,0
54993,faktor.hu,internet,1
55001,roboraptor.24.hu,internet,0
55006,tenyek.hu,internet,1
55022,runnersworld.hu,internet,0
55035,tv.gyorplusz.hu,internet,1
55050,hatvanihirlap.hu,internet,1
55067,888.hu,internet,1
55093,ujpest.hu,internet,1
55103,media13.hu,internet,1
55172,readybusinessblog.hu (fokuszbanazuzlet.hu),internet,0
55194,sorhat.hu,internet,0
55266,peca.hu,internet,0
55279,clickshop.hu,internet,0
55323,regiohir.hu,internet,1
55324,she.hu,internet,0
55331,unikornis.hu,internet,0
55335,premiummagazin.hu,internet,0
55339,izauratv.hu,internet,0
55344,m5tv.hu,internet,0
55347,moziplusztv.hu,internet,0
55348,spilertv.hu,internet,0
55351,tutiblog.com,internet,0
55352,zenebutik.tv,internet,0
55399,vitorlazasmagazin.hu,internet,0
55403,apamagazin.hu,internet,0
55407,chilitv.tv,internet,0
55417,humorplusz.hu,internet,0
55420,kiwitv.hu,internet,0
55427,otthonokesmegoldasok.hu,internet,0
55433,tv2csoport.hu/prime,internet,1
55444,helyivalasz.hu,internet,1
55530,noizz.hu,internet,0
55596,kuzdoter.hu,internet,1
55605,agrariumpress.hu,internet,0
55642,filmmaniatv.hu,internet,0
55643,frappeguide.hu,internet,0
55668,classfm.hu,internet,0
55669,ClassFM UK,internet,0
55670,ClassFM Hot Hits,internet,0
55671,ClassFM Csak Magyarok,internet,0
55680,petofilive.hu,internet,0
55694,top8.hu,internet,0
55705,mkk.mti.hu,internet,0
55708,balatonpress.hu,internet,0
55709,hirugynokseg.hu,internet,1
55713,adal.hu,internet,0
55722,onbox.hu,internet,0
55724,qubit.hu,internet,0
55731,tiszapart.hu,internet,0
60002,Köztéri tábla,közterületi tábla,1
60003,Köztéri tábla,közterületi tábla,1
60004,Köztéri tábla,közterületi tábla,1
60005,Köztéri tábla,közterületi tábla,1
60006,Köztéri tábla,közterületi tábla,1
60007,Köztéri tábla,közterületi tábla,1
60008,Köztéri tábla,közterületi tábla,1
60018,Köztéri tábla,közterületi tábla,1
60021,Köztéri tábla,közterületi tábla,1
60022,Köztéri tábla,közterületi tábla,1
60036,Köztéri tábla,közterületi tábla,1
70001,Indoor felület,indoor felület,1
70035,Indoor felület,indoor felület,1
